agent,barcode,cell_line,concentration,identifier,plate,role,timepoint,well,full_barcode,short_barcode
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B02,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B03,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B04,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B05,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B06,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B07,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B08,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B09,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B10,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B11,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B12,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B13,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B14,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B15,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B16,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B17,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B18,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B19,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B20,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B21,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B22,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,B23,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C02,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C03,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C04,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C05,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C06,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C07,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C08,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C09,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C10,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C11,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C12,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C13,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C14,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C15,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C16,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C17,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C18,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C19,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C20,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C21,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C22,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,C23,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,D02,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,D03,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,D04,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,D05,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,D06,190412_39I_365,39I_365
DMSO,190412_39I_365,AU565,0,,time0_ctrl,negative_control,0,D07,190412_39I_365,39I_365
